dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,279375,27,17,0.6296296296296297,0.2,0.275,0.07500000000000001,-1.0141477584838867,-1.1098911762237549,-0.09574341773986816,0.3333333333333333,-0.027777777777777776
amazon-toys-and-games,valid,281944,12,2,0.16666666666666666,0.95,0.45,-0.49999999999999994,1.8589556217193604,1.8601274490356445,0.0011718273162841797,0.08333333333333333,-0.1
amazon-toys-and-games,valid,282483,16,6,0.375,0.6,0.825,0.22499999999999998,0.19222497940063477,0.2634592056274414,0.07123422622680664,0.125,0.375
amazon-toys-and-games,valid,285588,11,1,0.09090909090909091,0.65,0.4,-0.25,-2.012699604034424,-1.7754864692687988,0.237213134765625,0.0,nan
amazon-toys-and-games,valid,288142,18,8,0.4444444444444444,0.45,0.775,0.325,-0.6462855339050293,-0.5317771434783936,0.11450839042663574,0.1111111111111111,0.375
amazon-toys-and-games,valid,290698,11,1,0.09090909090909091,1.0,0.5,-0.5,0.531421422958374,0.8034048080444336,0.27198338508605957,0.0,nan
amazon-toys-and-games,valid,290713,35,25,0.7142857142857143,1.0,1.0,0.0,7.310060501098633,8.173568725585938,0.8635082244873047,0.0,nan
amazon-toys-and-games,valid,290941,12,2,0.16666666666666666,0.7,0.475,-0.22499999999999998,2.5051004886627197,2.3504979610443115,-0.1546025276184082,0.16666666666666666,0.0
amazon-toys-and-games,valid,291211,14,4,0.2857142857142857,0.25,0.425,0.175,-1.2521955966949463,-1.2536545991897583,-0.0014590024948120117,0.14285714285714285,-0.025
amazon-toys-and-games,valid,291560,16,6,0.375,1.0,0.325,-0.675,3.271063804626465,3.360154390335083,0.08909058570861816,0.0,nan
amazon-toys-and-games,valid,294729,13,3,0.23076923076923078,1.0,0.475,-0.525,0.04966545104980469,0.3462104797363281,0.29654502868652344,0.07692307692307693,-0.1
amazon-toys-and-games,valid,294795,19,9,0.47368421052631576,0.35,0.325,-0.024999999999999967,-0.1353774070739746,-0.11971378326416016,0.015663623809814453,0.15789473684210525,-0.016666666666666666
amazon-toys-and-games,valid,297012,37,27,0.7297297297297297,0.8,0.375,-0.42500000000000004,0.3295872211456299,1.0063700675964355,0.6767828464508057,0.32432432432432434,-0.09583333333333333
amazon-toys-and-games,valid,297203,12,2,0.16666666666666666,0.5,0.45,-0.04999999999999999,-0.6474534273147583,-0.5050070285797119,0.1424463987350464,0.0,nan
amazon-toys-and-games,valid,301391,11,1,0.09090909090909091,0.25,0.5,0.25,-1.3118444681167603,-1.283705472946167,0.02813899517059326,0.0,nan
amazon-toys-and-games,valid,306312,14,4,0.2857142857142857,0.35,0.3,-0.04999999999999999,-0.1426403522491455,-0.225921630859375,-0.08328127861022949,0.2857142857142857,-0.0125
amazon-toys-and-games,valid,307615,17,7,0.4117647058823529,0.6,0.3,-0.3,1.3662915229797363,0.9384362697601318,-0.4278552532196045,0.23529411764705882,-0.0125
amazon-toys-and-games,valid,309155,37,27,0.7297297297297297,0.95,0.925,-0.02499999999999991,5.0693817138671875,4.748613357543945,-0.3207683563232422,0.08108108108108109,-0.05000000000000001
amazon-toys-and-games,valid,312140,12,2,0.16666666666666666,0.9,0.925,0.025000000000000022,1.7229104042053223,1.6912028789520264,-0.0317075252532959,0.08333333333333333,-0.05
amazon-toys-and-games,valid,313181,11,1,0.09090909090909091,0.05,0.5,0.45,3.7307732105255127,3.3475189208984375,-0.3832542896270752,0.09090909090909091,-0.15
amazon-toys-and-games,valid,314609,31,21,0.6774193548387096,0.8,0.6,-0.20000000000000007,1.2735140323638916,1.5068581104278564,0.23334407806396484,0.3548387096774194,-0.009090909090909092
amazon-toys-and-games,valid,317171,19,9,0.47368421052631576,1.0,0.85,-0.15000000000000002,3.6211657524108887,6.249349117279053,2.628183364868164,0.05263157894736842,-0.15
amazon-toys-and-games,valid,322984,15,5,0.3333333333333333,0.55,0.3,-0.25000000000000006,2.0971548557281494,1.8699121475219727,-0.22724270820617676,0.13333333333333333,-0.1
amazon-toys-and-games,valid,323347,14,4,0.2857142857142857,0.9,0.3,-0.6000000000000001,2.5207207202911377,2.3598415851593018,-0.16087913513183594,0.21428571428571427,-0.05000000000000001
amazon-toys-and-games,valid,325010,34,24,0.7058823529411765,0.85,0.275,-0.575,1.6874947547912598,1.6407105922698975,-0.046784162521362305,0.17647058823529413,-0.05000000000000001
amazon-toys-and-games,valid,325471,21,11,0.5238095238095238,1.0,0.825,-0.17500000000000004,1.403876543045044,1.7424204349517822,0.3385438919067383,0.23809523809523808,0.18
