dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,211131,13,3,0.23076923076923078,1.0,0.925,0.041713714599609375,0.049777597188949585,0.00806388258934021,0.15384615384615385,-0.05
amazon-toys-and-games,valid,225010,12,2,0.16666666666666666,0.9,0.4,0.045326754450798035,0.050667762756347656,0.005341008305549622,0.0,nan
amazon-toys-and-games,valid,226551,12,2,0.16666666666666666,0.85,0.35,0.11252912878990173,0.12368717789649963,0.0111580491065979,0.0,nan
amazon-toys-and-games,valid,231870,17,7,0.4117647058823529,0.45,0.825,0.1022261381149292,0.08112689852714539,-0.021099239587783813,0.11764705882352941,0.30000000000000004
amazon-toys-and-games,valid,231901,18,8,0.4444444444444444,0.85,0.95,0.05708503723144531,0.07708856463432312,0.020003527402877808,0.1111111111111111,0.425
amazon-toys-and-games,valid,232142,22,12,0.5454545454545454,0.75,0.95,0.0987401008605957,0.08626559376716614,-0.012474507093429565,0.4090909090909091,0.09999999999999999
amazon-toys-and-games,valid,233345,14,4,0.2857142857142857,1.0,0.275,0.12587153911590576,0.13457217812538147,0.008700639009475708,0.14285714285714285,-0.025
amazon-toys-and-games,valid,239270,13,3,0.23076923076923078,0.9,0.4,0.06963518261909485,0.08866153657436371,0.01902635395526886,0.07692307692307693,0.0
amazon-toys-and-games,valid,239801,33,23,0.696969696969697,0.85,0.975,0.03856271505355835,0.04914155602455139,0.010578840970993042,0.09090909090909091,-0.13333333333333333
amazon-toys-and-games,valid,240463,32,22,0.6875,0.35,0.875,-0.05102729797363281,-0.05631057918071747,-0.005283281207084656,0.5,0.159375
amazon-toys-and-games,valid,243965,16,6,0.375,0.7,0.3,0.11866185069084167,0.11919155716896057,0.0005297064781188965,0.0625,0.0
amazon-toys-and-games,valid,246780,18,8,0.4444444444444444,1.0,0.95,0.11395251750946045,0.07025060057640076,-0.04370191693305969,0.2222222222222222,-0.0625
amazon-toys-and-games,valid,246805,100,90,0.9,0.95,0.95,0.11053955554962158,0.1264248788356781,0.01588532328605652,0.24,0.027083333333333324
amazon-toys-and-games,valid,248470,17,7,0.4117647058823529,0.05,0.825,-0.031792208552360535,-0.04349130392074585,-0.011699095368385315,0.058823529411764705,-0.25
amazon-toys-and-games,valid,248547,54,44,0.8148148148148148,0.7,0.025,-0.014632225036621094,-0.005900740623474121,0.008731484413146973,0.46296296296296297,-0.018000000000000002
amazon-toys-and-games,valid,249715,36,26,0.7222222222222222,0.8,0.775,0.1352466344833374,0.10072237253189087,-0.03452426195144653,0.2222222222222222,-0.05
amazon-toys-and-games,valid,249922,11,1,0.09090909090909091,0.8,0.925,0.07963472604751587,0.08503842353820801,0.005403697490692139,0.0,nan
amazon-toys-and-games,valid,251719,11,1,0.09090909090909091,0.25,0.45,-0.0442105233669281,-0.048654377460479736,-0.004443854093551636,0.09090909090909091,0.0
